topic_id,topic_name,onhot_duration,hot_value,record_time
1,深圳新增本土确诊1例,53,181257,"2021-6-22 03:52"
10,22日新增24例确诊均为境外输入,166,2975727,"2021-6-23 12:23"
100,云南无新增本土确诊,31,204073,"2021-7-16 09:11"
1000,给自己做核酸检测的仓鼠,11,282353,"2021-8-16 23:59"
1001,商丘12例新冠肺炎病例活动轨迹公布,5,214890,"2021-8-16 23:59"
1002,江苏新增本土确诊3例,113,636477,"2021-8-17 10:58"
1003,上海疫情防控交出一份模范作业,164,566299,"2021-8-18 12:03"
1004,谢谢你中国医生,49,311714,"2021-8-18 19:24"
1005,上海1地调为中风险地区,1,217986,"2021-8-18 19:24"
1006,武汉全员核酸检测发现网上逃犯,203,1227055,"2021-8-18 19:34"
1007,新疆3例无症状基因测序为德尔塔毒株,99,770876,"2021-8-18 20:41"
1008,上海松江中心医院一女护士确诊,123,838976,"2021-8-18 20:53"
1009,上海疫情防控工作发布会,78,454714,"2021-8-18 22:08"
101,我国新冠疫苗年产能达到50亿剂,78,293187,"2021-7-16 13:16"
1010,江苏新增3例本土确诊病例,156,759123,"2021-8-19 11:53"
1011,云南疫情,144,753768,"2021-8-19 12:37"
1012,郑州连续14天无新增病例才能开学,119,568977,"2021-8-19 16:01"
1013,无锡通报1例确诊密接者轨迹,167,734035,"2021-8-19 17:51"
1014,全国新冠疫苗接种剂次超19亿,465,638697,"2021-8-19 22:54"
1015,一女子不配合防疫向志愿者扔西瓜,140,450517,"2021-8-20 10:55"
1016,31省区市新增4例本土确诊,51,259335,"2021-8-20 10:59"
1017,上海公布18日确诊本土病例溯源情况,30,281566,"2021-8-20 14:39"
1018,上海18日确诊者感染德尔塔变异株,241,842191,"2021-8-20 17:45"
1019,疫情下的留学生困境,82,259562,"2021-8-20 18:12"
102,新冠疫苗接种遵循自愿原则,157,1112170,"2021-7-16 23:59"
1020,多地通知未接种疫苗致感染将追责,144,552532,"2021-8-20 20:09"
1021,中高风险地区学校暂缓开学,118,362101,"2021-8-20 21:57"
1022,上海新增2例新冠确诊1,312,1027048,"2021-8-20 23:59"
1023,湖北的健康码叫什么,230,975965,"2021-8-20 23:59"
1024,江苏新增本土确诊1例,138,494615,"2021-8-21 11:44"
1025,湖北新增本土确诊1例,135,395215,"2021-8-21 11:52"
1026,武汉江岸区发现1人核酸阳性,116,596965,"2021-8-21 18:13"
